t_s,gyro_x_rads,gyro_y_rads,raw_ax_mps2,raw_ay_mps2,raw_az_mps2,speed_kmh,hall_f_hz,hall_r_hz,gps_fix
2.331,-0.0059,-0.0332,-0.3047,-0.4219,8.5039,0.00,0.00,0.00,1
2.346,0.0312,0.0020,1.1094,-1.1094,10.8359,0.00,0.00,0.00,1
2.363,0.0137,0.0859,0.1914,-0.5742,9.8867,0.00,0.00,0.00,1
2.381,-0.0215,0.0918,-0.7656,-0.9570,8.4258,0.00,0.00,0.00,1
2.397,0.0391,-0.1094,-1.7227,-0.6914,6.5859,0.00,0.00,0.00,1
2.414,-0.0059,-0.0449,1.9531,-0.8047,12.1836,0.00,0.00,0.00,1
2.434,0.0000,-0.0508,1.5313,-0.6133,11.1133,0.00,0.00,0.00,1
2.452,0.0410,-0.0957,-0.8438,-0.3437,7.7734,0.00,0.00,0.00,1
2.465,-0.0078,0.1211,-0.4219,-0.6914,8.8477,0.00,0.00,0.00,1
2.483,0.0195,-0.0703,0.7266,-0.5742,10.3086,0.00,0.00,0.00,1
2.500,0.0508,-0.1191,-1.9922,-0.9570,6.9336,0.00,0.00,0.00,1
2.516,-0.0059,0.1074,0.9961,-0.3047,10.1523,0.00,0.00,0.00,1
2.533,0.0352,-0.0039,0.7266,-0.9961,10.7305,0.00,0.00,0.00,1
2.551,0.0645,-0.0391,-1.4180,-0.7266,6.6680,0.00,0.00,0.00,1
2.567,-0.0254,0.0312,0.5742,-0.1914,10.0742,0.00,0.00,0.00,1
2.584,0.0195,0.0684,0.7656,-1.0742,10.7305,0.00,0.00,0.00,1
2.601,0.0703,0.0508,-1.5703,-0.8438,6.8906,0.00,0.00,0.00,1
2.623,0.0762,-0.0195,1.8008,-1.1484,11.6836,0.00,0.00,0.00,1
2.636,-0.0254,0.0937,-0.8047,-0.5352,7.4687,0.00,0.00,0.00,1
2.654,0.0449,0.0098,-0.8047,-0.1523,7.6953,0.00,0.00,0.00,1
2.671,0.0664,0.1289,2.4531,-1.1094,11.7187,0.00,0.00,0.00,1
2.686,-0.0195,-0.2285,1.1875,-0.4961,10.7656,0.00,0.00,0.00,1
2.703,0.0000,-0.0898,-1.8789,-0.3437,6.1289,0.00,0.00,0.00,1
2.721,0.0078,-0.0996,0.8047,-0.8047,9.6484,0.00,0.00,0.00,1
2.737,-0.0039,0.1465,3.4844,-0.6133,12.9102,0.00,0.00,0.00,1
2.754,0.0312,-0.0430,-0.2305,-0.8438,7.6953,0.00,0.00,0.00,1
2.771,0.0391,-0.0625,-2.1445,-0.5742,6.1680,0.00,0.00,0.00,1
2.788,-0.0117,0.0215,2.2617,-0.6914,11.2227,0.00,0.00,0.00,1
2.807,0.0098,0.1426,-0.9961,-0.6914,6.9336,0.00,0.00,0.00,1
2.823,0.0215,0.1387,-1.9141,-0.0391,4.5547,0.00,0.00,0.00,1
2.840,0.0312,0.1914,3.6758,-0.8047,13.2109,0.00,0.00,0.00,1
2.856,-0.0039,-0.2812,3.4492,-0.8047,12.0234,0.00,0.00,0.00,1
2.873,0.0117,-0.2773,-0.9961,-0.0391,5.8633,0.00,0.00,0.00,1
2.890,-0.0156,-0.2051,-0.0781,-0.9570,7.5898,0.02,0.00,0.00,1
2.907,0.0156,0.1816,3.9453,-0.3437,12.4844,0.02,0.00,0.00,1
2.924,0.0273,0.0645,2.5273,-1.1484,11.3750,0.02,0.00,0.00,1
2.941,0.0195,-0.0840,-1.7617,-0.5352,5.7461,0.02,0.00,0.00,1
2.958,0.0098,-0.0273,2.2617,-0.4609,9.9648,0.02,0.00,0.00,1
2.980,-0.0195,-0.1992,-0.3828,-0.3828,7.2734,0.02,0.00,0.00,1
2.993,0.0293,0.1816,0.8047,-0.3828,8.3555,0.02,0.00,0.00,1
3.013,0.0234,0.0098,2.1836,-0.8438,10.9180,0.02,0.00,0.00,1
3.026,-0.0215,0.0898,0.2305,-0.8828,7.8125,0.02,0.00,0.00,1
3.044,0.0059,-0.0449,0.4961,-0.1914,6.6250,0.02,0.00,0.00,1
3.062,0.0254,-0.0684,2.1836,-0.3828,9.6875,0.02,0.00,0.00,1
3.077,-0.0371,-0.1191,0.9180,-0.9180,8.6602,0.02,0.00,0.00,1
3.094,-0.0410,-0.0918,1.8789,-0.7266,8.0078,0.02,0.00,0.00,1
3.111,0.0117,-0.0176,2.0703,-0.5742,9.1562,0.02,0.00,0.00,1
3.128,-0.0156,-0.1133,1.8008,-1.4180,9.2695,0.02,0.28,0.28,1
3.145,-0.0488,-0.0840,2.4531,0.0781,9.6875,0.02,0.28,0.28,1
3.162,-0.0039,0.0059,2.1055,-0.8047,8.5391,0.02,0.28,0.28,1
3.183,0.0156,0.0098,4.5195,-0.1523,12.5625,0.02,0.28,0.28,1
3.197,-0.0605,-0.1387,2.4531,-1.1484,8.8477,0.02,14.46,16.23,1
3.214,-0.0195,-0.1250,3.6758,0.4961,9.6094,0.02,14.46,16.23,1
3.231,0.0273,-0.1074,2.4883,-1.3398,9.7695,0.02,14.46,16.23,1
3.247,-0.0781,0.0762,0.9961,-1.1094,8.5000,0.02,17.84,18.73,1
3.264,-0.0215,-0.0195,2.0312,-0.6133,8.9258,0.02,17.84,18.73,1
3.281,0.0547,-0.2812,1.3398,-0.4961,7.3906,0.02,17.84,18.73,1
3.301,0.0215,-0.2754,6.2070,-0.7656,14.2109,0.07,20.13,21.43,1
3.315,-0.0156,0.1934,3.6758,-0.1133,10.5742,0.07,20.13,44.59,1
3.332,-0.0039,0.3125,1.8398,-0.8828,9.2305,0.07,20.13,48.34,1
3.354,0.0215,0.1367,4.0977,-0.3437,11.5703,0.07,23.07,48.34,1
3.367,-0.0234,-0.2520,5.6680,-1.1484,12.4844,0.07,23.07,48.34,1
3.384,-0.0137,-0.2227,4.0234,0.5352,12.0273,0.07,24.86,26.29,1
3.402,0.0098,-0.1914,-0.9180,-0.8438,5.4375,0.07,24.86,26.29,1
3.417,-0.0273,0.1738,2.9102,0.3437,9.2695,0.07,27.53,27.63,1
3.435,-0.0020,0.0098,3.6016,-0.8438,9.5391,0.07,27.53,27.63,1
3.451,-0.0176,0.0391,3.2930,-0.4961,10.9570,0.07,29.08,30.09,1
3.470,-0.0273,-0.1328,1.2266,-0.3437,7.3906,0.07,29.08,31.83,1
3.485,-0.0234,0.0410,4.3672,-1.2656,12.1055,0.07,30.86,31.83,1
3.502,-0.0078,0.0742,1.6094,0.3437,7.9336,0.17,30.86,32.98,1
3.524,-0.0332,0.1406,3.5625,-0.5742,11.4531,0.17,32.40,32.98,1
3.541,-0.0586,-0.0195,1.8789,-1.3789,7.7344,0.17,34.59,34.70,1
3.554,-0.0469,-0.0098,1.8789,0.5352,8.1602,0.17,34.59,34.70,1
3.573,-0.0312,0.0645,4.0234,-1.8789,9.8477,0.17,35.63,36.27,1
3.587,-0.0742,-0.1074,4.4062,-0.1914,12.1797,0.17,35.63,38.04,1
3.604,-0.1055,0.1289,0.8047,0.0000,7.2031,0.17,36.90,38.04,1
3.621,-0.0625,0.0801,3.6406,-0.9570,10.4531,0.17,38.13,39.50,1
3.641,-0.0215,-0.0078,0.6523,-0.3828,6.8906,0.17,38.13,40.37,1
3.655,-0.1250,-0.0723,2.8711,-1.4180,8.3906,0.17,40.46,40.37,1
3.672,-0.0762,0.0488,3.2187,-0.5352,10.6133,0.17,40.91,42.44,1
3.694,-0.0508,0.0020,1.9922,1.9922,6.7852,0.17,43.59,43.19,1
